Brand,Model,Motor,Year,Kms,Box,Energy,Price
ALFA ROMEO,STELVIO phase 2,(2) STELVIO 2.0T 280 Q4 VELOCE AT8,2022,7260,Automatique,Essence,72470
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,8850,Automatique,Essence,46000
ALFA ROMEO,TONALE,1.5 HYBRID 160 EDIZIONE SPECIALE,2023,6404,Automatique,Essence,49900
ALFA ROMEO,GIULIETTA III phase 2,1.4 MULTIAIR 150 SPRINT,2016,86639,Manuelle,Essence,14680
ALFA ROMEO,STELVIO,2.0 280 LUSSO,2018,73780,Automatique,Essence,49580
ALFA ROMEO,4C SPIDER,1.7 TBI 240 STANDARD EDITION,2017,21583,Automatique,Essence,87730
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,3765,Automatique,Essence,43300
ALFA ROMEO,GIULIA II phase 2,2.0 200 SPRINT,2022,8077,Automatique,Essence,55640
ALFA ROMEO,STELVIO,2.0 280 FIRST EDITION,2018,102660,Automatique,Essence,37740
ALFA ROMEO,STELVIO,2.0 280 SPORT EDITION,2019,99412,Automatique,Essence,40570
ALFA ROMEO,MITO,0.9 TWINAIR 105 DISTINCTIVE BUSINESS,2017,94200,Manuelle,Essence,10680
ALFA ROMEO,4C,1.7 TBI 240 STANDARD EDITION,2017,24985,Automatique,Essence,77030
ALFA ROMEO,GIULIETTA III phase 3,1.4 TJET 120 SUPER,2021,89755,Manuelle,Essence,18430
ALFA ROMEO,4C SPIDER,1.7 TBI 240 STANDARD EDITION,2017,17869,Automatique,Essence,103380
ALFA ROMEO,GIULIA II QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2020,60221,Automatique,Essence,76280
ALFA ROMEO,4C,1.7 240,2018,26718,Automatique,Essence,91370
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,4130,Automatique,Essence,48410
ALFA ROMEO,STELVIO QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2019,58500,Automatique,Essence,81660
ALFA ROMEO,STELVIO QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2019,45264,Automatique,Essence,86080
ALFA ROMEO,STELVIO QUADRIFOGLIO,2.9 V6 510 Q4 QUADRIFOGLIO AT8,2019,37275,Automatique,Essence,68140
ALFA ROMEO,GIULIETTA III,1.4 TJET 120 DISTINCTIVE,2013,96924,Manuelle,Essence,13510
ALFA ROMEO,GIULIA II QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2017,48125,Automatique,Essence,90620
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,7432,Automatique,Essence,47950
ALFA ROMEO,4C,1.7 TBI 240 EDIZIONE SPECIALE,2019,27900,Automatique,Essence,99070
ALFA ROMEO,GIULIETTA III phase 3,1.4 MULTIAIR 170 LUSSO,2018,90688,Automatique,Essence,18170
ALFA ROMEO,4C,1.7 TBI 240 STANDARD EDITION,2016,84240,Automatique,Essence,67860
ALFA ROMEO,GIULIETTA III phase 2,1.4 MULTIAIR 170 SPRINT,2017,102960,Automatique,Essence,19300
ALFA ROMEO,GIULIETTA III phase 3,1.4 TJET 120 TI,2011,120170,Manuelle,Essence,11100
ALFA ROMEO,STELVIO,2.0 280 FIRST EDITION,2018,80712,Automatique,Essence,38640
ALFA ROMEO,GIULIETTA III phase 2,1.4 TJET 105 EDIZIONE,2016,83104,Manuelle,Essence,14020
ALFA ROMEO,GIULIA II QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2018,72863,Automatique,Essence,81230
ALFA ROMEO,STELVIO QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2019,58822,Automatique,Essence,80500
ALFA ROMEO,MITO,1.4 MPI 78 MITO,2019,67977,Manuelle,Essence,13890
ALFA ROMEO,GIULIETTA III phase 3,1.4 MULTIAIR 170 SUPER,2018,75112,Automatique,Essence,19300
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,7314,Automatique,Essence,41850
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,9520,Automatique,Essence,46290
ALFA ROMEO,GIULIA II,2.0 200 SPORT,2019,90722,Automatique,Essence,37420
ALFA ROMEO,GIULIA II QUADRIFOGLIO,2.9 V6 510 QUADRIFOGLIO,2017,40600,Manuelle,Essence,87000
ALFA ROMEO,MITO,0.9 105 SUPER,2017,121756,Manuelle,Essence,11160
ALFA ROMEO,STELVIO,2.0 200 SUPER,2019,42552,Automatique,Essence,37630
ALFA ROMEO,MITO,0.9 105 DISTINCTIVE,2015,109288,Manuelle,Essence,11480
ALFA ROMEO,TONALE,1.5 HYBRID 130 EDIZIONE SPECIALE,2023,5130,Automatique,Essence,48820
ALFA ROMEO,GIULIETTA III phase 2,1.4 MULTIAIR 170 EXCLUSIVE,2017,96029,Manuelle,Essence,12750
ALFA ROMEO,TONALE,1.5 HYBRID 160 EDIZIONE SPECIALE,2023,3480,Automatique,Essence,52070
ALFA ROMEO,STELVIO QUADRIFOGLIO phase 2,2.9 V6 510 QUADRIFOGLIO,2022,5400,Automatique,Essence,104650
